cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
42107,23153(A),VC,DUI ALCOHOL:CAUSE BOD INJ,F,850,37600,20,23153(A) VC-DUI ALCOHOL:CAUSING BODILY INJURY,NA,NA,TRUE,NA,F_VC_23153(A)
42109,23153(F),VC,DUI ALC/DRUG:CAUS BOD INJ,F,850,37600,20,23153(F) VC-DUI ALCOHOL/DRUGS:CAUSE BODILY INJ,NA,NA,TRUE,NA,F_VC_23153(F)
42119,23153(F),VC,DUI DRUG:CAUSE BODILY INJ,F,850,37600,20,23153(F) VC-DUI ANY DRUG:CAUSE BODILY INJURY,NA,NA,TRUE,NA,F_VC_23153(F)
42121,23153(G),VC,DUI ALC/DRUG:CAUS BOD INJ,F,850,37600,20,23153(G) VC-DUI ALC/DRUG:CAUSE BODILY INJURY,NA,NA,TRUE,NA,F_VC_23153(G)
52178,12034(C),PC,SHOOT AT PERSON FROM VEH,F,844,7600,19,12034(C) PC-DISCHARG FIREARM FROM VEH AT PERSN,NA,TRUE,NA,NA,F_PC_12034(C)
52181,12021.1(A),PC,POS F/ARM VIOL:MURDER/ETC,F,841,31910,19,12021.1(A) PC-POSS F/ARM W/PR VIOL:MURDER/ETC,NA,NA,NA,TRUE,F_PC_12021.1(A)
52490,26100(C),PC,SHOOT AT PERSON FROM VEH,F,844,7600,19,26100(C) PC-DISCHARG FIREARM FROM VEH AT PERSN,NA,TRUE,NA,NA,F_PC_26100(C)
52491,26100(D),PC,DISCHARGE F/ARM FROM VEH,F,844,64500,19,26100(D) PC-DISCHARGE FIREARM FROM VEHICLE,NA,TRUE,NA,NA,F_PC_26100(D)
11028,289(A),PC,SEX PENTR:FORN OBJ W/FORC,F,705,6200,18,289(A) PC-SEXUAL PENETRATN FOREIGN OBJ W/FORCE,NA,TRUE,NA,TRUE,F_PC_289(A)
13111,220,PC,ASLT TO COMMIT ORAL COP,F,710,12100,18,220 PC-ASSAULT TO COMMIT ORAL COPULATION,NA,TRUE,NA,TRUE,F_PC_220
13113,220,PC,ASLT:PENETRATE W/OBJECT,F,705,12000,18,220 PC-ASSAULT TO PENETRATE W/FOREIGN OBJECT,NA,NA,NA,TRUE,F_PC_220
36012,288A,PC,ORAL COPULATION,F,0,37835,18,288A PC-ORAL COPULATION,NA,NA,NA,TRUE,F_PC_288A
36135,286(C)(2),PC,SODOMY:-14 OR W/FORCE:INJ,F,732,5800,18,286(C)(2) PC-SODOMY:-14YRS OR W/FORCE:INJURY,NA,NA,NA,TRUE,F_PC_286(C)(2)
40004,266,PC,ENTICE MIN FEM: PROSTITU,F,790,37840,18,266 PC-ENTICE MINOR FEMALE FOR PROSTITUTN/ETC,NA,TRUE,NA,NA,F_PC_266
11031,261.5,PC,RAPE,F,0,5400,17,261.5 PC-RAPE,NA,TRUE,NA,NA,F_PC_261.5
11065,220,PC,ASLT:COMIT LEWD/LASC:CHLD,F,700,11900,16,220 PC-ASSAULT TO COMMIT LEWD/LASC ACT:CHILD,NA,TRUE,NA,TRUE,F_PC_220
13112,220,PC,ASLT:COMMIT L&L ON CHILD,F,700,11900,16,220 PC-ASSAULT:COMMIT LEWD/LASC ACT ON CHILD,NA,NA,NA,TRUE,F_PC_220
